Sample,X,Y,Z
301,-0.352,-1.359,1.316
302,-0.156,-1.168,1.484
303,-0.555,-1.352,1.383
304,0.402,-1.430,1.328
305,-0.242,-1.137,1.281
306,-0.500,-1.602,1.273
307,0.293,-1.207,1.609
308,-0.223,-1.277,1.051
309,-0.480,-1.438,1.031
310,0.445,-0.766,0.984
311,0.098,-1.168,1.035
312,-0.105,-1.375,0.664
313,0.305,-1.090,0.945
314,0.055,-0.590,0.887
315,0.230,-1.523,0.684
316,0.105,-0.961,0.715
317,-0.047,-1.160,0.918
318,0.926,-1.430,0.480
319,-0.043,-1.797,1.203
320,-0.637,-1.344,1.105
321,0.500,-0.895,-0.012
322,-0.195,-0.988,0.758
323,-0.012,-1.031,1.520
324,0.176,-0.852,1.328
325,-0.305,-1.434,1.555
326,-0.352,-1.258,1.031
327,-0.203,-1.090,1.371
328,0.285,-0.891,0.547
329,-0.551,-1.016,1.668
330,0.426,-0.668,1.043
331,-0.078,-1.488,1.848
332,-0.785,-1.984,0.707
333,-0.027,-0.793,0.973
334,0.121,-1.195,1.441
335,0.156,-0.957,1.219
336,0.156,-1.523,0.824
337,-0.164,-1.164,0.734
338,-0.055,-0.961,1.281
339,0.531,-0.957,0.965
340,-0.043,-0.758,0.750
341,-0.070,-1.523,0.672
342,0.211,-1.172,0.508
343,0.109,-0.734,1.105
344,0.098,-1.387,0.734
345,-0.004,-1.227,0.715
346,0.020,-1.301,1.109
347,0.332,-1.246,0.906
348,-0.219,-0.938,0.902
349,0.004,-0.676,1.395
350,0.027,-1.406,1.309
351,-0.066,-1.410,0.996
352,-0.039,-1.082,1.047
353,-0.418,-0.332,1.422
354,-0.121,-1.141,1.352
355,0.078,-1.586,1.227
356,-0.250,-1.141,1.613
357,-0.148,-1.320,1.047
358,0.285,-1.199,1.012
359,-0.473,-1.230,1.336
360,-0.125,-0.871,0.836
361,0.465,-1.250,0.645
362,-0.395,-1.293,1.574
363,0.188,-1.184,0.844
364,0.039,-1.027,0.625
365,-0.305,-1.242,0.852
366,0.465,-0.902,0.832
367,0.109,-0.719,0.742
368,-0.180,-1.035,0.922
369,0.211,-1.551,0.840
370,-0.078,-1.422,1.262
371,0.203,-0.871,0.812
372,0.430,-1.031,0.848
373,-0.352,-1.586,1.414
374,-0.070,-1.336,0.867
375,0.035,-1.398,0.887
376,0.102,-1.035,1.086
377,0.070,-1.168,1.637
378,-0.410,-1.441,0.922
379,-0.305,-0.980,0.980
380,-0.074,-1.055,1.414
381,-0.035,-1.238,1.340
382,-0.277,-0.945,0.965
383,0.074,-0.871,0.961
384,0.137,-1.012,1.453
385,-0.059,-1.301,1.215
386,-0.133,-1.035,0.641
387,-0.457,-0.715,1.008
388,0.395,-1.098,1.098
389,0.105,-0.879,1.117
390,0.230,-0.949,0.953
391,0.105,-1.180,0.723
392,-0.281,-0.988,0.961
393,0.398,-0.355,0.777
394,0.156,-0.914,0.980
395,0.008,-1.387,1.180
396,0.188,-0.855,1.262
397,-0.086,-0.438,0.477
398,-0.004,-0.535,0.434
399,-0.234,-0.473,1.402
400,-0.320,-0.348,1.629
401,0.039,-0.258,1.039
402,-0.066,-0.523,1.043
403,-0.344,-0.512,1.066
404,-0.035,-0.309,0.953
405,0.168,0.039,1.191
406,0.152,-0.184,1.742
407,0.074,-0.789,1.141
408,-0.457,-0.980,0.691
409,-0.004,-0.453,1.023
410,0.305,0.273,1.457
411,0.047,0.059,1.180
412,-0.059,-0.383,0.441
413,-0.219,-0.184,0.875
414,0.066,0.387,1.465
415,0.324,0.137,1.102
416,0.008,-0.309,0.859
417,-0.207,-0.281,0.863
418,0.055,-0.023,0.617
419,0.152,0.121,0.820
420,0.152,0.031,1.055
421,0.074,-0.160,1.090
422,-0.062,-0.273,1.035
423,0.016,-0.172,0.906
424,-0.082,-0.016,1.148
425,-0.008,0.051,1.027
426,0.133,0.066,0.992
427,-0.008,0.074,1.242
428,-0.016,0.035,1.145
429,-0.055,-0.156,1.074
430,-0.238,-0.148,1.172
431,-0.133,-0.066,1.113
432,-0.090,0.000,1.035
433,-0.027,0.078,0.980
434,0.074,0.031,1.070
435,-0.168,-0.039,1.137
436,-0.004,-0.020,1.078
437,0.105,0.020,1.125
438,0.066,0.031,0.984
439,0.129,0.004,0.875
440,-0.082,0.004,0.902
441,0.051,0.047,0.879
442,0.207,0.109,0.992
443,0.059,0.094,1.055
444,0.062,0.035,0.762
445,-0.004,0.000,0.891
446,-0.004,0.000,0.891
447,-0.078,0.039,1.031
448,0.133,0.094,0.945
449,0.020,0.078,0.965
450,0.023,0.023,1.008
451,0.008,-0.047,1.082
452,-0.223,-0.039,1.043
453,-0.086,0.020,0.988
454,-0.027,0.117,1.133
455,0.008,0.129,1.102
456,0.020,0.051,1.008
457,-0.184,-0.016,1.145
458,-0.125,0.031,1.102
459,0.070,0.102,1.113
460,0.066,0.105,1.055
461,0.043,0.020,0.930
462,-0.074,-0.020,0.984
463,-0.020,0.070,0.926
464,0.105,0.180,1.000
465,0.020,0.055,1.004
466,0.070,-0.004,0.898
467,-0.020,0.051,0.906
468,-0.020,0.117,0.914
469,0.102,0.082,0.914
470,0.059,0.008,0.988
471,0.078,0.043,0.941
472,0.047,0.055,0.953
473,-0.082,0.012,1.059
474,-0.070,0.000,0.969
