Sample,X,Y,Z
291,-0.367,-0.008,1.480
292,0.500,0.039,1.207
293,-0.270,-0.195,0.980
294,-1.117,-0.559,0.906
295,0.871,-0.730,0.773
296,-0.613,-0.324,1.496
297,0.180,-1.191,0.828
298,0.352,-1.574,1.105
299,-0.793,-1.301,0.934
300,0.512,-1.430,0.781
301,0.527,-1.062,1.113
302,0.102,-1.125,0.648
303,-0.082,-1.211,0.922
304,-0.203,-0.852,0.922
305,-0.062,-0.305,1.031
306,-0.094,-0.680,1.664
307,0.121,-0.004,0.531
308,0.270,-0.848,0.875
309,-0.211,-1.023,1.000
310,0.246,-0.367,0.750
311,0.590,-1.012,1.270
312,-0.441,-1.426,1.680
313,-0.441,-1.426,1.680
314,-0.086,-1.250,0.906
315,0.191,-1.844,1.039
316,-0.754,-1.305,1.039
317,0.238,-1.430,0.883
318,0.203,-1.031,0.793
319,-0.102,-0.012,1.203
320,0.289,0.172,1.555
321,0.355,-0.086,1.191
322,-1.016,-1.430,0.734
323,0.695,-1.562,0.316
324,0.016,-1.027,1.238
325,-0.008,-0.742,1.395
326,-0.031,-0.137,0.965
327,0.430,-1.617,1.082
328,-0.113,-1.734,0.879
329,0.074,-1.457,0.473
330,0.074,-1.457,0.473
331,-0.113,-1.141,0.793
332,-0.676,-0.457,1.590
333,0.660,-0.332,0.734
334,0.004,-0.832,1.180
335,-0.387,-0.957,0.695
336,-0.051,-0.195,1.055
337,0.312,-0.719,1.164
338,-0.621,-1.293,1.336
339,1.156,-1.613,0.703
340,-0.512,-1.367,0.836
341,-0.809,-1.008,1.496
342,0.559,-0.699,0.738
343,-0.133,-0.664,1.805
344,0.262,-1.617,0.648
345,0.742,-1.051,0.230
346,-0.910,-0.422,1.547
347,0.367,-0.516,1.086
348,0.328,-0.637,1.277
349,-0.773,-1.234,1.168
350,0.902,-1.078,0.465
351,-0.359,-0.762,1.227
352,0.414,-0.309,1.023
353,0.465,-1.336,1.441
354,-0.848,-1.488,1.039
355,-0.148,-1.578,0.645
356,0.055,-1.559,0.992
357,-0.070,-0.055,1.004
