Sample,X,Y,Z
414,0.973,0.352,1.441
415,1.113,0.605,1.141
416,0.555,-0.559,0.688
417,0.828,-0.598,0.629
418,1.156,0.164,1.562
419,0.965,0.953,1.762
420,1.074,0.262,0.773
421,0.730,-0.602,0.484
422,0.188,-0.062,1.121
423,0.500,0.312,1.281
424,0.586,-0.180,0.707
425,0.586,-0.180,0.707
426,-0.309,-0.574,0.094
427,-0.012,-0.332,-0.008
428,0.348,0.301,0.980
429,0.656,0.621,1.699
430,0.828,0.309,1.195
431,0.070,-0.438,0.535
432,-0.160,-0.359,0.660
433,0.289,0.414,1.469
434,0.316,0.461,1.379
435,-0.031,-0.027,1.258
436,-0.090,-0.367,1.137
437,-0.133,-0.109,1.305
438,-0.008,0.242,1.516
439,0.258,0.125,1.035
440,-0.035,-0.379,1.074
441,-0.023,-0.270,1.023
442,0.234,0.168,1.316
443,0.102,0.344,1.152
444,0.156,-0.035,0.750
445,-0.035,-0.156,0.652
446,-0.230,0.016,0.824
447,-0.051,0.168,0.707
448,-0.141,0.004,0.664
449,-0.105,-0.031,0.855
450,0.055,-0.004,1.035
451,0.070,0.117,0.973
452,0.133,0.043,1.059
453,0.188,-0.105,1.094
454,0.047,-0.133,1.184
455,0.086,-0.004,1.238
456,0.133,0.113,1.273
457,-0.125,-0.047,1.312
458,-0.051,-0.004,0.953
459,-0.047,0.180,1.027
460,-0.098,0.242,1.156
461,-0.066,-0.043,1.035
462,-0.117,-0.125,0.996
463,-0.137,0.000,1.027
464,0.000,0.027,1.070
465,0.086,-0.043,0.992
466,-0.094,-0.078,0.852
467,0.031,-0.008,0.816
468,0.129,0.062,0.910
469,-0.043,0.109,0.996
470,-0.023,-0.160,0.859
471,-0.113,-0.156,0.957
472,0.016,0.008,0.977
473,0.230,0.172,0.949
474,0.176,0.109,0.871
475,0.148,0.090,1.094
476,0.062,0.062,1.211
477,0.215,0.004,1.070
478,0.102,0.031,1.059
479,-0.051,-0.039,0.977
480,0.035,0.094,0.887
481,-0.074,0.160,0.840
482,0.012,0.312,1.238
483,0.137,0.117,0.938
484,-0.051,-0.188,1.031
485,-0.121,-0.426,1.160
486,-0.082,-0.438,1.234
487,0.176,0.004,1.023
488,0.027,0.168,1.566
489,0.023,0.027,1.344
490,-0.027,-0.016,0.707
491,-0.035,0.324,0.840
492,0.098,0.422,0.957
493,-0.180,-0.043,0.887
494,-0.078,-0.344,0.660
495,0.004,-0.023,1.211
496,0.176,0.176,1.141
497,0.379,-0.160,0.820
498,0.195,-0.121,0.793
499,0.145,0.047,1.078
500,0.215,0.172,1.082
501,0.125,0.062,1.152
502,-0.066,-0.074,1.043
503,-0.133,-0.059,0.859
504,0.008,0.020,1.008
505,0.066,0.293,1.055
506,-0.059,0.195,1.090
507,-0.051,-0.039,1.000
508,-0.062,-0.043,1.223
509,-0.094,-0.098,1.121
510,-0.031,-0.211,1.020
511,-0.141,-0.238,1.043
512,-0.141,-0.094,1.113
513,-0.094,0.023,1.129
514,-0.027,0.102,1.062
515,0.023,0.113,1.043
516,-0.074,0.090,1.023
517,0.008,0.070,1.000
518,0.008,0.070,1.000
519,-0.035,0.000,0.961
520,-0.027,0.016,0.980
521,0.156,0.031,0.961
522,0.082,0.051,1.023
523,0.148,0.059,0.961
524,0.125,-0.020,0.879
525,0.012,-0.043,0.867
526,0.039,-0.055,1.008
527,-0.078,-0.082,0.945
528,-0.113,-0.031,0.891
529,-0.035,0.055,0.988
530,-0.004,0.176,1.102
531,-0.062,0.117,1.004
532,-0.109,0.016,1.066
533,-0.051,-0.035,1.266
534,-0.090,0.055,1.219
535,-0.105,-0.086,1.066
536,-0.125,0.039,1.117
537,-0.020,0.070,1.043
538,-0.195,-0.008,1.039
539,0.004,0.055,0.918
540,-0.055,0.031,1.188
541,-0.125,-0.055,1.062
542,0.035,-0.172,1.051
543,0.027,-0.113,1.062
544,0.070,0.082,1.148
545,0.078,0.090,0.977
546,0.012,0.035,0.930
547,-0.004,0.086,0.945
548,0.008,0.156,0.836
549,0.039,0.090,0.836
550,-0.023,0.023,0.883
