Sample,X,Y,Z
365,1.664,0.512,1.223
366,1.281,0.137,1.516
367,1.598,-0.672,0.973
368,0.898,-0.418,1.371
369,0.758,-0.301,1.633
370,1.375,-0.324,1.578
371,1.137,0.289,1.980
372,1.094,0.207,1.707
373,1.066,-0.180,1.508
374,1.082,-0.293,1.824
375,1.059,0.285,1.531
376,1.320,0.309,1.148
377,0.996,-0.680,0.648
378,0.867,0.109,1.473
379,1.859,0.336,1.207
380,1.535,0.172,0.484
381,1.414,-0.047,0.527
382,1.410,-0.238,0.074
383,1.086,0.344,0.438
384,1.785,0.246,0.188
385,1.625,-0.281,0.707
386,0.902,-0.410,0.488
387,1.148,-0.141,0.090
388,1.488,0.180,0.504
389,1.430,-0.125,0.988
390,1.383,0.219,1.094
391,1.059,0.449,1.199
392,1.234,-0.270,1.043
393,1.152,0.008,1.582
394,1.434,0.414,1.586
395,1.188,0.000,1.582
396,0.465,-0.434,1.973
397,1.051,-0.188,1.402
398,1.102,0.020,0.832
399,1.160,-0.098,1.148
400,1.363,-0.012,1.895
401,0.777,0.215,1.758
402,1.305,-0.098,0.496
403,1.371,-0.086,0.598
404,0.273,0.129,0.832
405,-0.344,0.363,0.293
406,0.105,0.391,0.117
407,0.156,0.066,0.094
408,-0.629,-0.020,0.352
409,-0.344,0.148,0.207
410,-0.508,0.062,0.707
411,-0.398,-0.117,0.969
412,0.086,-0.285,0.777
413,-0.312,-0.285,1.176
414,-0.402,-0.031,1.824
415,-0.117,-0.121,1.949
416,-0.297,-0.352,1.617
417,-0.203,-0.332,1.645
418,-0.043,0.121,1.840
419,0.090,0.352,1.969
420,0.340,0.199,1.617
421,0.305,0.027,1.352
422,0.234,0.109,1.270
423,0.363,0.270,1.121
424,0.414,0.117,0.789
425,0.254,-0.086,0.316
426,0.098,-0.078,0.113
427,0.074,0.012,0.105
428,-0.066,0.020,0.066
429,-0.156,-0.098,-0.027
430,-0.289,-0.156,0.164
431,-0.168,-0.031,0.453
432,-0.078,0.043,0.812
433,-0.074,-0.004,0.965
434,0.000,-0.059,1.211
435,0.035,0.031,1.621
436,0.074,0.164,1.906
437,0.047,0.148,1.953
438,-0.078,-0.039,1.816
439,-0.156,-0.023,1.754
440,-0.098,-0.031,1.832
441,-0.070,0.008,1.660
442,-0.168,0.039,1.293
443,-0.074,-0.090,1.184
444,-0.129,-0.121,1.004
445,-0.035,0.020,0.746
446,0.039,0.055,0.539
447,0.016,0.055,0.383
448,0.051,-0.078,0.328
449,-0.023,-0.051,0.402
450,0.016,0.039,0.480
451,0.031,-0.062,0.371
452,0.129,-0.059,0.594
453,0.238,0.129,0.645
454,0.176,0.129,0.887
455,0.285,0.074,1.254
456,0.234,-0.109,1.355
457,0.219,0.016,1.410
458,0.250,0.078,1.586
459,0.090,0.168,1.520
460,0.156,0.191,1.445
461,-0.074,0.195,1.531
462,-0.117,0.316,1.355
463,-0.160,0.113,1.191
464,-0.336,-0.465,1.211
465,-0.297,-0.332,0.887
466,-0.371,-0.488,0.938
467,0.004,-0.098,0.969
468,-0.062,0.188,1.242
469,-0.047,0.020,1.031
470,0.141,0.062,0.312
471,0.031,0.234,0.723
472,0.102,0.180,0.684
473,0.125,-0.066,0.629
474,0.117,-0.059,0.785
475,0.211,0.047,1.230
476,0.461,0.125,1.023
477,0.508,-0.035,0.859
478,0.387,0.102,1.109
479,0.414,0.133,1.191
480,0.113,0.023,1.355
481,0.055,-0.074,1.020
482,-0.117,-0.055,1.168
483,-0.219,-0.062,1.090
484,-0.074,0.109,0.965
485,-0.254,0.262,1.020
486,-0.219,0.172,0.914
487,-0.230,-0.020,0.965
488,-0.355,-0.410,0.898
489,-0.250,-0.328,0.949
490,-0.219,-0.113,1.305
491,-0.109,0.012,1.277
492,0.031,-0.055,1.070
493,0.160,0.102,1.062
494,0.133,0.273,1.270
495,0.141,0.156,1.277
496,0.121,-0.043,1.020
497,0.039,-0.016,1.023
498,0.141,0.082,0.910
499,0.203,0.043,0.848
500,0.148,0.008,0.898
501,0.184,0.070,0.848
502,0.078,0.020,0.828
503,-0.016,-0.020,0.781
504,-0.070,-0.023,0.812
505,-0.191,-0.035,0.824
506,-0.227,-0.062,0.895
507,-0.207,0.008,0.855
508,-0.156,0.082,0.984
509,-0.125,0.133,1.176
510,-0.176,0.059,1.219
511,-0.176,-0.066,1.289
512,-0.055,-0.086,1.281
513,0.012,-0.035,1.281
